game_id,jg_result,jg_matchup,jg_k,jg_a,jg_d,jg_cs,jg_op_cs,jg_gold,jg_damage,jg_matchup_strength,top_result,top_matchup,top_k,top_a,top_d,top_cs,top_op_cs,top_gold,top_damage,top_matchup_strength,mid_result,mid_matchup,mid_k,mid_a,mid_d,mid_cs,mid_op_cs,mid_gold,mid_damage,mid_matchup_strength,bot_result,bot_matchup,bot_k,bot_a,bot_d,bot_cs,bot_op_cs,bot_gold,bot_damage,bot_matchup_strength,sup_result,sup_matchup,sup_k,sup_a,sup_d,sup_cs,sup_op_cs,sup_gold,sup_damage,sup_matchup_strength
960777,blue win,"Jarvan IV , Lee Sin",3.0,11.2,1.0,92.25,82.5,13135.5,9227.5,-20.0,blue win,"Viktor , Kennen",5.25,5.0,2.5,137.0,115.0,14835.5,29139.5,4.0,blue win,"Sylas , Neeko",3.111111111111111,6.222222222222222,2.111111111111111,132.2,127.0,14482.2,14610.8,2.0,blue win,"Sivir , Ezreal",4.9411764705882355,6.411764705882353,1.2352941176470589,146.6,139.0,15834.4,19998.1,2.0,blue win,"Rakan , Tahm Kench",0.8,11.6,1.4666666666666666,5.6923076923076925,28.0,9215.0,6079.7692307692305,2.0
1180210,blue loss,"Jarvan IV , Olaf",2.272727272727273,11.454545454545455,1.6363636363636365,86.71428571428571,85.28571428571429,10709.0,5068.428571428572,2.0,blue loss,"Kennen , Renekton",4.0,6.5,1.0,128.5,124.0,12364.0,12349.0,-4.0,blue loss,"Sylas , Azir",3.1666666666666665,7.666666666666667,1.1666666666666667,139.25,132.25,13776.75,14122.0,10.0,blue loss,"Varus , Sona",5.5,5.0,0.25,147.0,50.75,14612.75,19976.75,-4.0,blue loss,"Tahm Kench , Taric",1.0,11.0,1.5714285714285714,37.0,60.833333333333336,9336.5,5482.0,10.0
1092577,blue loss,"Jarvan IV , Sejuani",1.3571428571428572,12.071428571428571,1.7142857142857142,82.08333333333333,82.58333333333333,10949.416666666666,6647.25,4.0,blue loss,"Jayce , Ornn",4.666666666666667,5.0,3.0,138.0,110.33333333333333,16151.0,24436.333333333332,2.0,blue loss,"Vladimir , Akali",1.0,6.0,0.0,141.0,119.0,13855.0,18216.0,0.0,blue loss,"Xayah , Sivir",5.0,5.178571428571429,0.8214285714285714,139.28571428571428,133.52380952380952,17097.904761904763,16446.14285714286,2.0,blue loss,"Nautilus , Morgana",0.25,8.0,3.5,23.0,6.666666666666667,9421.333333333334,4160.333333333333,-6.0
1131837,blue win,"Jarvan IV , Sejuani",1.3571428571428572,12.071428571428571,1.7142857142857142,82.08333333333333,82.58333333333333,10949.416666666666,6647.25,4.0,blue win,"Rumble , Neeko",2.6666666666666665,7.666666666666667,2.6666666666666665,121.0,136.33333333333334,12672.0,16904.0,2.0,blue win,"Sylas , Corki",4.0,8.5,1.0,147.0,146.0,13727.0,9972.0,2.0,blue win,"Jinx , Ezreal",3.5,8.0,1.0,153.0,132.5,16627.0,15659.0,2.0,blue win,"Nautilus , Thresh",0.3333333333333333,9.333333333333334,2.0,24.333333333333332,5.0,8963.333333333334,4004.6666666666665,2.0
970468,blue loss,"Lee Sin , Skarner",2.5,4.0,2.0,80.0,81.0,11127.5,7313.5,2.0,blue loss,"Jax , Aatrox",3.8,5.6,1.6,125.8,131.0,15580.2,13654.0,6.0,blue loss,"Ryze , Sylas",4.5,5.0,1.8333333333333333,138.8,130.4,14854.2,14083.0,-10.0,blue loss,"Xayah , Sivir",5.0,5.178571428571429,0.8214285714285714,139.28571428571428,133.52380952380952,17097.904761904763,16446.14285714286,2.0,blue loss,"Rakan , Lux",0.6666666666666666,9.88888888888889,2.6666666666666665,6.0,6.888888888888889,8840.444444444445,4118.111111111111,-10.0
1086823,blue loss,"Trundle , Sejuani",1.5555555555555556,9.222222222222221,1.8888888888888888,82.13333333333334,81.26666666666667,11802.8,6344.933333333333,16.0,blue loss,"Jayce , Aatrox",4.111111111111111,5.777777777777778,1.7777777777777777,132.75,126.5,15228.625,21547.0,-10.0,blue loss,"Veigar , Corki",5.0,6.0,0.0,132.0,139.0,12788.0,15560.0,0.0,blue loss,"Sivir , Lucian",5.0,8.625,1.75,141.5,133.5,13184.5,13062.75,-16.0,blue loss,"Lux , Braum",0.75,8.25,1.75,4.75,28.75,9613.75,8372.25,2.0
1081753,blue win,"Xin Zhao , Lee Sin",3.3333333333333335,6.666666666666667,2.0,82.33333333333333,80.33333333333333,12176.0,9674.333333333334,-6.0,blue win,"Kennen , Aatrox",2.9,6.2,2.0,129.0,125.7,13568.1,15846.4,-2.0,blue win,"Jayce , Azir",6.333333333333333,11.0,1.3333333333333333,128.0,125.0,12913.0,23513.0,0.0,blue win,"Sona , Varus",2.6666666666666665,12.833333333333334,1.3333333333333333,51.0,139.83333333333334,11898.666666666666,11302.833333333334,4.0,blue win,"Tahm Kench , Yuumi",1.5,14.0,2.0,72.0,1.5,10054.0,5740.5,-6.0
1081655,blue win,"Olaf , Rek'Sai",4.857142857142857,4.428571428571429,1.0,86.5,92.5,10769.5,8527.0,8.0,blue win,"Jayce , Camille",3.6666666666666665,5.833333333333333,2.0,114.66666666666667,122.0,13274.333333333334,19360.0,6.0,blue win,"Taliyah , Neeko",6.0,5.75,1.0,130.33333333333334,131.33333333333334,10947.0,10270.666666666666,4.0,blue win,"Sivir , Sona",3.5,6.125,0.75,141.0,50.0,17206.14285714286,24578.714285714286,-6.0,blue win,"Yuumi , Tahm Kench",1.0,11.714285714285714,0.2857142857142857,4.571428571428571,64.57142857142857,9236.857142857143,14615.142857142857,6.0
2019-261LNG EsportsEdward Gaming,blue loss,"Xin Zhao , Sylas",2.3333333333333335,8.0,1.6666666666666667,77.0,87.0,11316.0,7001.0,2.0,blue loss,"Jayce , Camille",3.6666666666666665,5.833333333333333,2.0,114.66666666666667,122.0,13274.333333333334,19360.0,6.0,blue loss,"LeBlanc , Zoe",2.75,6.75,0.75,130.5,129.0,11617.0,15908.0,2.0,blue loss,"Kalista , Ezreal",4.0,6.5,0.25,147.0,128.0,16360.2,11720.0,12.0,blue loss,"Lux , Yuumi",1.5,11.291666666666666,1.375,5.2,4.0,8682.8,6038.4,14.0
1082067,blue win,"Lee Sin , Olaf",2.7,7.6,1.5,82.125,87.5,11447.5,6688.875,6.0,blue win,"Jayce , Kennen",3.4,7.6,1.8,140.0,127.66666666666667,16985.666666666668,21288.333333333332,6.0,blue win,"LeBlanc , Azir",3.0,8.0,1.0,134.0,132.0,13288.0,16213.666666666666,-6.0,blue win,"Xayah , Pyke",7.0,7.0,2.5,145.0,131.0,20491.0,24566.0,2.0,blue win,"Lux , Yuumi",1.5,11.291666666666666,1.375,5.2,4.0,8682.8,6038.4,14.0
