matchup,kills,deaths,assists,csat15,oppcsat15,total_gold,damage
"Ashe , Kai'Sa",2.0,2.0,4.0,136.0,129.0,16521.5,18264.5
"Ashe , Kalista",0.0,0.0,7.0,156.0,138.0,14734.0,13961.0
"Ashe , Lucian",3.0,2.0,9.0,149.0,135.0,22115.0,45680.0
"Ashe , Sivir",1.5,2.0,8.5,140.66666666666666,153.33333333333334,15763.0,17466.666666666668
"Ashe , Sona",3.0,0.0,15.0,145.0,64.0,12464.0,14350.0
"Ashe , Varus",3.0,1.3333333333333333,7.333333333333333,128.0,131.5,13659.0,11813.0
"Ashe , Vayne",4.0,3.0,15.0,,,,
"Ashe , Xayah",3.25,2.5,6.5,116.66666666666667,127.66666666666667,14973.666666666666,19100.0
"Azir , Aatrox",8.0,0.0,4.0,147.0,137.0,16511.0,16431.0
"Azir , Akali",4.833333333333333,1.3333333333333333,4.333333333333333,144.2,132.2,14351.2,20581.8
"Azir , Anivia",12.0,2.0,8.0,147.0,146.0,24952.0,58737.0
"Azir , Camille",2.0,4.0,4.0,,,,
"Azir , Cassiopeia",5.0,3.0,2.0,120.0,137.0,15018.0,14899.0
"Azir , Corki",3.6875,0.875,5.125,152.71428571428572,143.5,15547.285714285714,20357.071428571428
"Azir , Ekko",5.0,2.0,9.0,147.0,134.0,16854.0,33417.0
"Azir , Irelia",4.333333333333333,2.3333333333333335,4.666666666666667,126.0,153.0,10149.0,12948.0
"Azir , Jayce",3.6666666666666665,1.3333333333333333,6.666666666666667,136.0,145.0,12216.0,8655.0
"Azir , Karma",2.0,0.0,6.0,156.0,140.0,13271.0,19271.0
"Azir , LeBlanc",3.0,0.8333333333333334,6.166666666666667,137.16666666666666,129.0,13366.0,14395.666666666666
"Azir , Lissandra",6.0,1.0,8.0,146.0,150.0,12140.0,16806.0
"Azir , Neeko",5.4,1.0,4.0,149.33333333333334,133.33333333333334,13780.666666666666,17115.333333333332
"Azir , Orianna",4.5,0.5,4.5,145.5,129.5,13312.0,21198.0
"Azir , Qiyana",2.0,0.5,4.0,145.5,133.0,11790.0,9619.5
"Azir , Renekton",2.0,1.0,5.0,146.0,131.0,13904.0,10725.0
"Azir , Ryze",2.3333333333333335,0.6666666666666666,7.666666666666667,145.0,137.0,12616.0,13794.666666666666
"Azir , Sylas",3.0,0.0,8.0,157.0,138.0,17830.0,17127.0
"Azir , Syndra",4.0,1.0,3.0,151.0,142.0,16045.0,15790.0
"Azir , Taliyah",2.25,1.25,3.75,149.5,127.5,12164.5,9245.5
"Azir , Twisted Fate",2.0,2.0,3.0,149.0,148.0,15470.0,22919.0
"Azir , Veigar",3.0,1.0,2.0,156.0,126.0,16492.0,19623.0
"Azir , Vel'koz",4.5,2.0,6.5,145.0,146.5,14898.5,21918.0
"Azir , Vladimir",2.5,1.0,6.0,161.5,143.0,15181.0,25884.5
"Azir , Zilean",2.0,0.0,4.0,160.0,152.0,14179.0,14447.0
"Azir , Zoe",2.857142857142857,1.7142857142857142,6.857142857142857,143.66666666666666,143.66666666666666,14245.333333333334,16639.666666666668
"Bard , Tahm Kench",0.0,0.0,14.0,,,,
